0.000000	3.992421
3.448276	3.851858
6.896552	3.639165
10.344828	3.620708
13.793103	3.400301
17.241379	3.395014
20.689655	3.357705
24.137931	3.280050
27.586207	3.248223
31.034483	3.168059
34.482759	3.186875
37.931034	3.161890
41.379310	3.110994
44.827586	3.113989
48.275862	3.006447
51.724138	3.030329
55.172414	3.048930
58.620690	3.062282
62.068966	3.000367
65.517241	3.014389
68.965517	3.007609
72.413793	3.009539
75.862069	3.049525
79.310345	2.958577
82.758621	3.004489
86.206897	2.937600
89.655172	3.048924
93.103448	3.029625
96.551724	3.084653
100.000000	3.038809
